role_name,description,required_skills,preferred_skills,learning_topics
Data Analyst,"Analyzes datasets to identify trends and create visualizations for decision-making.","SQL;Excel;Pandas;Power BI;Python","NumPy;Tableau;Git","SQL queries and joins;Pandas data manipulation;Data visualization with Power BI;Data storytelling"
Machine Learning Engineer,"Designs and builds machine learning systems and deploys them to production.","Python;Machine Learning;Scikit-learn;FastAPI;Docker","SQL;Git;NumPy;MLflow;AWS","Scikit-learn modeling;FastAPI for ML deployment;Dockerizing models;MLflow tracking"
AI Engineer,"Develops applications using generative AI, large language models, and agentic workflows.","Python;Deep Learning;LLM;RAG;Git","PyTorch;Docker;AWS;LangChain;Transformers","Deep learning fundamentals;LLM fine-tuning and prompting;Retrieval Augmented Generation (RAG);Deploying AI pipelines"
NLP Engineer,"Specializes in building systems that understand human language using NLP and transformer models.","Python;NLP;Transformers;Hugging Face;Git","Deep Learning;PyTorch;SQL;Docker","Text preprocessing and tokenization;Transformers architecture;Hugging Face Transformers;Advanced NLP pipelines"
Computer Vision Engineer,"Builds models to extract information from images and videos using computer vision techniques.","Python;OpenCV;CNN;YOLO;Git","Deep Learning;PyTorch;Docker;C++","Image processing with OpenCV;Convolutional Neural Networks (CNNs);YOLO object detection;Model deployment for Edge devices"
Python Developer,"Builds general-purpose backend systems, APIs, and scripts using Python.","Python;Git;GitHub;SQL;Flask","Django;Docker;FastAPI;HTML;CSS","Advanced Python concepts;Web scraping and APIs;Flask/Django web development;Git workflow and GitHub actions"
Data Scientist,"Applies machine learning, statistics, and domain expertise to solve complex business problems.","Python;Machine Learning;SQL;Pandas;NumPy","Scikit-learn;Deep Learning;Git;Tableau","Exploratory data analysis;Predictive modeling;Advanced machine learning;Data storytelling"
Backend Developer,"Architects databases and web APIs to power mobile and web frontend clients.","Python;SQL;PostgreSQL;Node.js;Git","FastAPI;Docker;Redis;MongoDB","Database schema design;REST API development;Node.js backend programming;Docker environments"
Full Stack Developer,"Develops both client-side frontend interfaces and backend server-side logic.","HTML;CSS;JavaScript;React;SQL","Python;Node.js;TypeScript;Git;GitHub","Frontend layout & styling;React component state;Backend integration;Full-stack deployment"
Business Intelligence Analyst,"Transforms data into business insights using SQL and dashboarding tools.","Excel;SQL;Power BI;Tableau","Python;Pandas;Git","SQL data warehousing;Power BI modeling;Tableau dashboarding;Data storytelling"
